ad_id,page_id,page_name,promotional_text,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,created_time,updated_time,ad_creative_bodies,status,effective_status,ad_active_status,is_active,body,title,caption,description,link_url,image_name,image_link,image_description,impressions_min,impressions_max,spend_min,spend_max,ad_url,publisher_platforms,languages
27752458091068640,179450065439629,Chewy,Take advantage of deals on Vital Essentials premium freeze-dried raw protein food and treats.,,,,,,['Take advantage of deals on Vital Essentials premium freeze-dried raw protein food and treats.'],,,,,,,,,,Learn Why Pets Prefer Vital Essentials,,,0,0,0,0,https://www.facebook.com/ads/library/?id=27752458091068640,"facebook, instagram, audience_network, messenger",en
1246425269938082,179450065439629,Chewy,"Clean, safe, & veterinarian recommended - Boxie® checks all the boxes. Switch now & enjoy 35% off your first autoship order!",,,,,,"['Clean, safe, & veterinarian recommended - Boxie® checks all the boxes. Switch now & enjoy 35% off your first autoship order!']",,,,,,,,,,See Why Thousands Chose Boxie®,,,0,0,0,0,https://www.facebook.com/ads/library/?id=1246425269938082,"facebook, instagram",en
1104723164989496,179450065439629,Chewy,Pamper your pet with a spa day this Holiday season! Visit Chewy to find great Holiday deals.,,,,,,['Pamper your pet with a spa day this Holiday season! Visit Chewy to find great Holiday deals.'],,,,,,,,,,"For great holiday deals, shop Chewy.",,,0,0,0,0,https://www.facebook.com/ads/library/?id=1104723164989496,"facebook, instagram, messenger",en
1107336597721976,179450065439629,Chewy,"From cozy car carriers to yummy treats, Chewy has you covered for your Holiday travel essentials.",,,,,,"['From cozy car carriers to yummy treats, Chewy has you covered for your Holiday travel essentials.']",,,,,,,,,,"For great holiday deals, shop Chewy.",,,0,0,0,0,https://www.facebook.com/ads/library/?id=1107336597721976,"facebook, instagram, messenger",en
924334559043063,179450065439629,Chewy,"With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.",,,,,,"['With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.', 'With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.', 'With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.', 'With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.', 'With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.', 'With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.', 'With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.']",,,,,,,,,,Chewy,,,0,0,0,0,https://www.facebook.com/ads/library/?id=924334559043063,"facebook, instagram, audience_network, messenger",en
585932640614456,179450065439629,Chewy,"With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.",,,,,,"['With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.', 'With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.', 'With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.', 'With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.', 'With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.', 'With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.', 'With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.']",,,,,,,,,,Chewy,,,0,0,0,0,https://www.facebook.com/ads/library/?id=585932640614456,"facebook, instagram, audience_network, messenger",en
923979796319423,179450065439629,Chewy,"Outdoorsy dog? On Chewy, get all your pet prescriptions, like flea & tick meds, delivered at a great price.",,,,,,"['Outdoorsy dog? On Chewy, get all your pet prescriptions, like flea & tick meds, delivered at a great price.', 'Outdoorsy dog? On Chewy, get all your pet prescriptions, like flea & tick meds, delivered at a great price.', 'Outdoorsy dog? On Chewy, get all your pet prescriptions, like flea & tick meds, delivered at a great price.', 'Outdoorsy dog? On Chewy, get all your pet prescriptions, like flea & tick meds, delivered at a great price.', 'Outdoorsy dog? On Chewy, get all your pet prescriptions, like flea & tick meds, delivered at a great price.', 'Outdoorsy dog? On Chewy, get all your pet prescriptions, like flea & tick meds, delivered at a great price.', 'Outdoorsy dog? On Chewy, get all your pet prescriptions, like flea & tick meds, delivered at a great price.']",,,,,,,,,,Chewy,,,0,0,0,0,https://www.facebook.com/ads/library/?id=923979796319423,"facebook, instagram, audience_network, messenger",en
1144471110663987,179450065439629,Chewy,"At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.",,,,,,"['At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.']",,,,,,,,,,Chewy,,,0,0,0,0,https://www.facebook.com/ads/library/?id=1144471110663987,"facebook, instagram, audience_network, messenger",en
1609425636316887,179450065439629,Chewy,"With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.",,,,,,"['With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.', 'With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.', 'With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.', 'With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.', 'With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.', 'With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.', 'With Chewy, save 35% on your first Autoship order and get their favorites delivered right to your door, right on schedule.']",,,,,,,,,,Chewy,,,0,0,0,0,https://www.facebook.com/ads/library/?id=1609425636316887,"facebook, instagram, audience_network, messenger",en
820802876694182,179450065439629,Chewy,"At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.",,,,,,"['At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.']",,,,,,,,,,Chewy,,,0,0,0,0,https://www.facebook.com/ads/library/?id=820802876694182,"facebook, instagram, audience_network, messenger",en
