ad_id,page_id,page_name,promotional_text,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,ad_creative_bodies,ad_creative_links,ad_creative_link_titles,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_urls,ad_active_status,image_name,image_link,image_description,ad_url
582200917701360,95181800661,Levi's,Nuestra nueva colección de invierno 2024.,,,,"['Nuestra nueva colección de invierno 2024.', 'Nuestra nueva colección de invierno 2024.', 'Nuestra nueva colección de invierno 2024.', 'Nuestra nueva colección de invierno 2024.', 'Nuestra nueva colección de invierno 2024.', 'Nuestra nueva colección de invierno 2024.', 'Nuestra nueva colección de invierno 2024.', 'Nuestra nueva colección de invierno 2024.', 'Nuestra nueva colección de invierno 2024.', 'Nuestra nueva colección de invierno 2024.', 'Nuestra nueva colección de invierno 2024.', 'Nuestra nueva colección de invierno 2024.', 'Nuestra nueva colección de invierno 2024.', 'Nuestra nueva colección de invierno 2024.', 'Nuestra nueva colección de invierno 2024.', 'Nuestra nueva colección de invierno 2024.']",,"['SE VIENE…', 'SE VIENE…', 'SE VIENE…', 'SE VIENE…', 'SE VIENE…', 'SE VIENE…', 'SE VIENE…', 'SE VIENE…', 'SE VIENE…', 'SE VIENE…', 'SE VIENE…', 'SE VIENE…', 'SE VIENE…', 'SE VIENE…', 'SE VIENE…', 'SE VIENE…']",,,,,SE VIENE…,,,https://www.facebook.com/ads/library/?id=582200917701360
877346016508757,95181800661,Levi's,This content was removed because it didn't follow our Advertising Standards.,,,,"[""This content was removed because it didn't follow our Advertising Standards.""]",,"[""This content was removed because it didn't follow our Advertising Standards.""]",,,,,This content was removed because it didn't follow our Advertising Standards.,,,https://www.facebook.com/ads/library/?id=877346016508757
3054876554727874,95181800661,Levi's,This content was removed because it didn't follow our Advertising Standards.,,,,"[""This content was removed because it didn't follow our Advertising Standards.""]",,"[""This content was removed because it didn't follow our Advertising Standards.""]",,,,,This content was removed because it didn't follow our Advertising Standards.,,,https://www.facebook.com/ads/library/?id=3054876554727874
644668353169661,95181800661,Levi's,This content was removed because it didn't follow our Advertising Standards.,,,,"[""This content was removed because it didn't follow our Advertising Standards.""]",,"[""This content was removed because it didn't follow our Advertising Standards.""]",,,,,This content was removed because it didn't follow our Advertising Standards.,,,https://www.facebook.com/ads/library/?id=644668353169661
402267701459552,95181800661,Levi's,This content was removed because it didn't follow our Advertising Standards.,,,,"[""This content was removed because it didn't follow our Advertising Standards.""]",,"[""This content was removed because it didn't follow our Advertising Standards.""]",,,,,This content was removed because it didn't follow our Advertising Standards.,,,https://www.facebook.com/ads/library/?id=402267701459552
330008872249525,95181800661,Levi's,This content was removed because it didn't follow our Advertising Standards.,,,,"[""This content was removed because it didn't follow our Advertising Standards.""]",,"[""This content was removed because it didn't follow our Advertising Standards.""]",,,,,This content was removed because it didn't follow our Advertising Standards.,,,https://www.facebook.com/ads/library/?id=330008872249525
568868730924224,95181800661,Levi's,This content was removed because it didn't follow our Advertising Standards.,,,,"[""This content was removed because it didn't follow our Advertising Standards.""]",,"[""This content was removed because it didn't follow our Advertising Standards.""]",,,,,This content was removed because it didn't follow our Advertising Standards.,,,https://www.facebook.com/ads/library/?id=568868730924224
376450347343178,95181800661,Levi's,This content was removed because it didn't follow our Advertising Standards.,,,,"[""This content was removed because it didn't follow our Advertising Standards.""]",,"[""This content was removed because it didn't follow our Advertising Standards.""]",,,,,This content was removed because it didn't follow our Advertising Standards.,,,https://www.facebook.com/ads/library/?id=376450347343178
387266949678985,95181800661,Levi's,This content was removed because it didn't follow our Advertising Standards.,,,,"[""This content was removed because it didn't follow our Advertising Standards.""]",,"[""This content was removed because it didn't follow our Advertising Standards.""]",,,,,This content was removed because it didn't follow our Advertising Standards.,,,https://www.facebook.com/ads/library/?id=387266949678985
1209985219502758,95181800661,Levi's,This content was removed because it didn't follow our Advertising Standards.,,,,"[""This content was removed because it didn't follow our Advertising Standards.""]",,"[""This content was removed because it didn't follow our Advertising Standards.""]",,,,,This content was removed because it didn't follow our Advertising Standards.,,,https://www.facebook.com/ads/library/?id=1209985219502758
2549059775226687,95181800661,Levi's,This content was removed because it didn't follow our Advertising Standards.,,,,"[""This content was removed because it didn't follow our Advertising Standards.""]",,"[""This content was removed because it didn't follow our Advertising Standards.""]",,,,,This content was removed because it didn't follow our Advertising Standards.,,,https://www.facebook.com/ads/library/?id=2549059775226687
496542698439974,95181800661,Levi's,This content was removed because it didn't follow our Advertising Standards.,,,,"[""This content was removed because it didn't follow our Advertising Standards.""]",,"[""This content was removed because it didn't follow our Advertising Standards.""]",,,,,This content was removed because it didn't follow our Advertising Standards.,,,https://www.facebook.com/ads/library/?id=496542698439974
793554581265041,95181800661,Levi's,This content was removed because it didn't follow our Advertising Standards.,,,,"[""This content was removed because it didn't follow our Advertising Standards.""]",,"[""This content was removed because it didn't follow our Advertising Standards.""]",,,,,This content was removed because it didn't follow our Advertising Standards.,,,https://www.facebook.com/ads/library/?id=793554581265041
213524650577035,95181800661,Levi's,This content was removed because it didn't follow our Advertising Standards.,,,,"[""This content was removed because it didn't follow our Advertising Standards.""]",,"[""This content was removed because it didn't follow our Advertising Standards.""]",,,,,This content was removed because it didn't follow our Advertising Standards.,,,https://www.facebook.com/ads/library/?id=213524650577035
451657786128819,95181800661,Levi's,This content was removed because it didn't follow our Advertising Standards.,,,,"[""This content was removed because it didn't follow our Advertising Standards.""]",,"[""This content was removed because it didn't follow our Advertising Standards.""]",,,,,This content was removed because it didn't follow our Advertising Standards.,,,https://www.facebook.com/ads/library/?id=451657786128819
703277990278602,95181800661,Levi's,This content was removed because it didn't follow our Advertising Standards.,,,,"[""This content was removed because it didn't follow our Advertising Standards.""]",,"[""This content was removed because it didn't follow our Advertising Standards.""]",,,,,This content was removed because it didn't follow our Advertising Standards.,,,https://www.facebook.com/ads/library/?id=703277990278602
