ad_id,page_id,page_name,promotional_text,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,ad_creative_bodies,ad_creative_links,ad_creative_link_titles,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_urls,ad_active_status,image_name,image_link,image_description,ad_url
541645642077776,20395377020,Old Navy,"For all the wrapping, cookie-ing, movie-ing, and general merry-ing you’ll do all season.",,,,"['For all the wrapping, cookie-ing, movie-ing, and general merry-ing you’ll do all season.', 'For all the wrapping, cookie-ing, movie-ing, and general merry-ing you’ll do all season.', 'For all the wrapping, cookie-ing, movie-ing, and general merry-ing you’ll do all season.', 'For all the wrapping, cookie-ing, movie-ing, and general merry-ing you’ll do all season.', 'For all the wrapping, cookie-ing, movie-ing, and general merry-ing you’ll do all season.', 'For all the wrapping, cookie-ing, movie-ing, and general merry-ing you’ll do all season.']",,"['Layers on Layers of Cozy', 'Layers on Layers of Cozy', 'Layers on Layers of Cozy', 'Layers on Layers of Cozy', 'Layers on Layers of Cozy', 'Layers on Layers of Cozy']",,,,,Layers on Layers of Cozy,,,https://www.facebook.com/ads/library/?id=541645642077776
505416445805031,20395377020,Old Navy,These looks know how to make an entrance.,,,,"['These looks know how to make an entrance.', 'These looks know how to make an entrance.', 'These looks know how to make an entrance.', 'These looks know how to make an entrance.', 'These looks know how to make an entrance.', 'These looks know how to make an entrance.']",,"[""Women's Satin Cropped Button-Down Shirt"", ""Women's Satin Cropped Button-Down Shirt"", ""Women's Satin Cropped Button-Down Shirt"", ""Women's Satin Cropped Button-Down Shirt"", ""Women's Satin Cropped Button-Down Shirt"", ""Women's Satin Cropped Button-Down Shirt""]",,,,,Women's Satin Cropped Button-Down Shirt,,,https://www.facebook.com/ads/library/?id=505416445805031
1035834311650619,20395377020,Old Navy,"FYI, these are as comfy as a holidaymovie marathon featuring your fluffiest blanket.",,,,"['FYI, these are as comfy as a holidaymovie marathon featuring your fluffiest blanket.', 'FYI, these are as comfy as a holidaymovie marathon featuring your fluffiest blanket.', 'FYI, these are as comfy as a holidaymovie marathon featuring your fluffiest blanket.', 'FYI, these are as comfy as a holidaymovie marathon featuring your fluffiest blanket.', 'FYI, these are as comfy as a holidaymovie marathon featuring your fluffiest blanket.', 'FYI, these are as comfy as a holidaymovie marathon featuring your fluffiest blanket.']",,"[""Women's Cozy Crew-Neck Sweater"", ""Women's Sosoft Tunic Sweater"", ""Women's Sosoft Tunic Sweater"", ""Women's Sosoft Tunic Sweater"", ""Women's Sosoft Tunic Sweater"", ""Women's Sosoft Tunic Sweater""]",,,,,Women's Cozy Crew-Neck Sweater,,,https://www.facebook.com/ads/library/?id=1035834311650619
1037282334810441,20395377020,Old Navy,"Score 50% OFF ALL our festive, trendy, cult-fave fits 😍 Exclusions apply.",,,,"['Score 50% OFF ALL our festive, trendy, cult-fave fits 😍 Exclusions apply.', 'Score 50% OFF ALL our festive, trendy, cult-fave fits 😍 Exclusions apply.', 'Score 50% OFF ALL our festive, trendy, cult-fave fits 😍 Exclusions apply.', 'Score 50% OFF ALL our festive, trendy, cult-fave fits 😍 Exclusions apply.', 'Score 50% OFF ALL our festive, trendy, cult-fave fits 😍 Exclusions apply.', 'Score 50% OFF ALL our festive, trendy, cult-fave fits 😍 Exclusions apply.']",,"[""Women's High-Waisted Pixie Skinny Pants"", ""Women's High-Waisted Pixie Skinny Pants"", ""Women's High-Waisted Pixie Skinny Pants"", ""Women's High-Waisted Pixie Skinny Pants"", ""Women's High-Waisted Pixie Skinny Pants"", ""Women's High-Waisted Pixie Skinny Pants""]",,,,,Women's High-Waisted Pixie Skinny Pants,,,https://www.facebook.com/ads/library/?id=1037282334810441
1135481051244171,20395377020,Old Navy,Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.,,,,"['Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.']",,"['Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt']",,,,,Star Wars™ T-Shirt,,,https://www.facebook.com/ads/library/?id=1135481051244171
4163551807208548,20395377020,Old Navy,Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.,,,,"['Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.']",,"['Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt']",,,,,Star Wars™ T-Shirt,,,https://www.facebook.com/ads/library/?id=4163551807208548
2673274106189846,20395377020,Old Navy,Gifting? Save BIG with Super Cash *and* Black Friday Deals 😍 Exclusions apply.,,,,"['Gifting? Save BIG with Super Cash *and* Black Friday Deals 😍 Exclusions apply.', 'Gifting? Save BIG with Super Cash *and* Black Friday Deals 😍 Exclusions apply.', 'Gifting? Save BIG with Super Cash *and* Black Friday Deals 😍 Exclusions apply.', 'Gifting? Save BIG with Super Cash *and* Black Friday Deals 😍 Exclusions apply.', 'Gifting? Save BIG with Super Cash *and* Black Friday Deals 😍 Exclusions apply.', 'Gifting? Save BIG with Super Cash *and* Black Friday Deals 😍 Exclusions apply.']",,"['Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt']",,,,,Star Wars™ T-Shirt,,,https://www.facebook.com/ads/library/?id=2673274106189846
1094555935413535,20395377020,Old Navy,Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.,,,,"['Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.']",,"['Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt']",,,,,Star Wars™ T-Shirt,,,https://www.facebook.com/ads/library/?id=1094555935413535
1109204720574762,20395377020,Old Navy,Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.,,,,"['Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.', 'Gifting? Save BIG with your Super Cash 🤩 Redeem it now or start earning for later. Exclusions apply.']",,"['Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt', 'Star Wars™ T-Shirt']",,,,,Star Wars™ T-Shirt,,,https://www.facebook.com/ads/library/?id=1109204720574762
419379351224990,20395377020,Old Navy,"Super soft staples for your littles, with no-brainer zips and snaps.",,,,"['Super soft staples for your littles, with no-brainer zips and snaps.', 'Super soft staples for your littles, with no-brainer zips and snaps.', 'Super soft staples for your littles, with no-brainer zips and snaps.', 'Super soft staples for your littles, with no-brainer zips and snaps.', 'Super soft staples for your littles, with no-brainer zips and snaps.', 'Super soft staples for your littles, with no-brainer zips and snaps.']",,"['Biker Shorts for Toddler Girls', 'Biker Shorts for Toddler Girls', 'Biker Shorts for Toddler Girls', 'Biker Shorts for Toddler Girls', 'Biker Shorts for Toddler Girls', 'Biker Shorts for Toddler Girls']",,,,,Biker Shorts for Toddler Girls,,,https://www.facebook.com/ads/library/?id=419379351224990
