ad_id,region,percentage
unknown,New York,0
unknown,Utah,0
unknown,New Mexico,0
unknown,Nevada,0
unknown,Washington,0
unknown,Alabama,0
unknown,Arkansas,0
unknown,California,0
unknown,New Jersey,0
unknown,Indiana,0
unknown,Mississippi,0
unknown,Florida,0
unknown,South Carolina,0
unknown,Wisconsin,0
unknown,Arizona,0
unknown,Oklahoma,0
unknown,Rhode Island,0
unknown,Tennessee,0
unknown,Virginia,0
unknown,Illinois,0
unknown,Connecticut,0
unknown,Ohio,0
unknown,North Dakota,0
unknown,Hawaii,0
unknown,Montana,0
unknown,Alaska,0
unknown,Kansas,0
unknown,Wyoming,0
unknown,Maryland,0
unknown,North Carolina,0
unknown,Colorado,0
unknown,Iowa,0
unknown,Michigan,0
unknown,West Virginia,0
unknown,Georgia,0
unknown,Idaho,0
unknown,Delaware,0
unknown,South Dakota,0
unknown,"Washington, District of Columbia",0
unknown,Missouri,0
unknown,Nebraska,0
unknown,Texas,0
unknown,Massachusetts,0
unknown,Vermont,0
unknown,Louisiana,0
unknown,Minnesota,0
unknown,Kentucky,0
unknown,Oregon,0
unknown,Maine,0
unknown,New Hampshire,0
unknown,Pennsylvania,0
unknown,New York,0
unknown,Utah,0
unknown,New Mexico,0
unknown,Nevada,0
unknown,Washington,0
unknown,Alabama,0
unknown,Arkansas,0
unknown,California,0
unknown,New Jersey,0
unknown,Indiana,0
unknown,Mississippi,0
unknown,Florida,0
unknown,South Carolina,0
unknown,Wisconsin,0
unknown,Arizona,0
unknown,Oklahoma,0
unknown,Rhode Island,0
unknown,Tennessee,0
unknown,Virginia,0
unknown,Illinois,0
unknown,Connecticut,0
unknown,Ohio,0
unknown,North Dakota,0
unknown,Hawaii,0
unknown,Montana,0
unknown,Alaska,0
unknown,Kansas,0
unknown,Wyoming,0
unknown,Maryland,0
unknown,North Carolina,0
unknown,Colorado,0
unknown,Iowa,0
unknown,Michigan,0
unknown,West Virginia,0
unknown,Georgia,0
unknown,Idaho,0
unknown,Delaware,0
unknown,South Dakota,0
unknown,"Washington, District of Columbia",0
unknown,Missouri,0
unknown,Nebraska,0
unknown,Texas,0
unknown,Massachusetts,0
unknown,Vermont,0
unknown,Louisiana,0
unknown,Minnesota,0
unknown,Kentucky,0
unknown,Oregon,0
unknown,Maine,0
unknown,New Hampshire,0
unknown,Pennsylvania,0
unknown,New York,0
unknown,Utah,0
unknown,New Mexico,0
unknown,Nevada,0
unknown,Washington,0
unknown,Alabama,0
unknown,Arkansas,0
unknown,California,0
unknown,New Jersey,0
unknown,Indiana,0
unknown,Mississippi,0
unknown,Florida,0
unknown,South Carolina,0
unknown,Wisconsin,0
unknown,Arizona,0
